,Bio,Profession,Gender
10,"_ has been composing and performing live music for classic silent films for over 10 years with the Virginia Film Festival as well as other festival venues. In November, 2011 _ performed _ new score for the Turner Classic Movies and Library of Congress presentation of Buster Keaton's The General, at the Virginia Film Festival. Also in November, _'s screenplay The Portrait, won the grand prize for best horror script at the Rhode Island International Film Festival. In April 2012 _ paper ""Through the Looking Glass Genre: a look at unreliable narrators in film,"" will be presented at Trinity College in Dublin, Ireland.",professor,M
11,"_ graduated with honors in 1999. Having more than 17 years of diverse experiences, especially in NURSE PRACTITIONER, _ _ _ affiliates with no hospital, and cooperates with other doctors and specialists in medical group Kingston Care Partners, LLC. Call _ _ _ on phone number (419) 874-3578 for more information and advises or to book an appointment.",nurse,F
12,_ had more than 500 official matches in Macedonian professional football. This makes _ one of the most respected football personalities of the country as _ succeeded double careers: Academic and football.,professor,M
13,_. _ was born in New Jersey and moved to Florida after graduating high school. _. _ attended the University of South Florida where _ obtained a bachelor’s degree in Political Science. _ then went on to receive a Juris Doctorate from Stetson University College of Law.,attorney,F
14,"_ maintains the student journalism industry blog College Media Matters, affiliated with the Associated Collegiate Press. _ also serves as the ""Campus Beat"" columnist for USA TODAY College and a contributor to outlets including PBS MediaShift, College Media Review, and The Huffington Post. _ is the author of ""Journalism of Ideas: Brainstorming, Developing, and Selling Stories in the Digital Age"" (Routledge, 2013) and ""Sex and the University: Celebrity, Controversy, and a Student Journalism Revolution"" (Rutgers University Press, 2010).",professor,M
15,Received _ BEng in Software Engineering from the University of Aberystwyth (2000) and holds an MSc in Computer Animation from the University of Bournemouth (2001). Currently works as a contract software engineer in research projects.,software_engineer,M
16,"_ has worked as a teacher and College Principal for over twenty-five years and is currently Principal in Hobart. _ holds a Bachelor’s degree in History and a Masters degree in Education. _ has also written: Battle Scarred The 47th Battalion in the First World War (isbn 978-1-922132-00-0) and At Any Price: The Anzacs in the Battle of Messines 1917 (isbn 978-1-925520-51-4). _ lives in Hobart with _ wife Tracey and children Patrick, Dominic, Michael and Annie.",teacher,M
17,"_'s presents _ work in topical series that cast a focus upon American society and the environment. The artist's new series titled ""Beyond Water"" explore the core of water’s life-force, illuminating a deep perception of what is ‘beyond’ the visibly recognizable.",photographer,F
18,_ obtained _ bachelor’s and master’s degree in physical therapy and a Master of Science in counseling – all from Fresno State. _ also has a doctoral degree in educational leadership (Ed.D.) from UC Davis/Fresno State.,professor,F
19,"_ is an experienced consultant, coach, facilitator and assessor who has designed and delivered courses for a wide variety of audiences across the UK and Europe. _'s skills and experience include supporting clients in designing 'fit for purpose' succession planning/talent management solutions; developing and delivering tailored management development programmes for clients in the public, private and not-for-profit sectors; designing, delivering and managing assessment and development centres for recruitment and development decisions across Europe; designing and delivering effective development programmes focused on the psychology and neuroscience of leadership and management; and delivering coaching for senior managers across a wide range of industries.",psychologist,M
20,"_ has written articles about religion, education, parenting, health, travel and books for print and online publications, including Salon, The Palm Beach Post and South Florida Parenting. See _ Web site at www.caranissman.com. Related Resources",journalist,F
21,"_ passed the Ohio Bar in July 2008 and was admitted into practice in November 2008. _ has more than five years of experience working for creditor's rights law firms. _ regularly represents financial institutions in connection with residential foreclosures, evictions, and collections. _ is also a certified mediator, and completed a concentration of course work in alternative dispute resolution. _ past legal experience includes an externship for a federal district court judge, general litigation at the Capital University Law School Litigation Clinic, and assisting at a family law practice.",attorney,F
22,"_ graduated cum laude from Duke University with a bachelor’s degree in Biology. _ earned _ medical degree and a Master’s of Public Health degree from the University of Alabama at Birmingham. _ completed a family medicine residency at the Ventura Family Medicine Residency in Ventura, California, where _ served as a chief resident. _ also completed an obstetric fellowship at Natividad Medical Center in Salinas, California.",professor,F
23,"_ poetry is a volatile mixture of major trends in both the art and the politics of the twentieth and early twenty-first centuries. _ is a social revolutionary, passionately interested in the plight of downtrodden people everywhere, and _ is a seeker of African roots and bases of morality who uses the techniques of free verse, borrowing artistic concepts from surrealism. _ is a prophetic voice that uses jazz rhythms and relates existentialist philosophy. _ insistence on discovering the origins of African moral concepts and _ use of a voice that has the overtones of Old Testament prophecy indicate that _ is also very much aware of the uses of the past.",poet,F
24,"_ is an adjunct faculty member of Pacifica Graduate Institute and earned _ degree in Psychoanalytic Studies at the University of Essex. _ loves growing native plants, cooking, and hiking.",psychologist,F
25,"_ first book of poetry is called ""understories"", and is published by Caitlin Press. _ has a chapbook with Lipstick Press called The Picket Fence Diaries. _ poems have also been published in The Malahat Review, GRAIN, CV2, Event, and in various anthologies, including Rocksalt, 4 Poets, and Half in the Sun. Contact: magpie.ink@hotmail.com",poet,M
26,"As a reporter for the Utica Observer-Dispatch, _ won a New York Newspaper Publishers Association Award of Distinguished Community Service for _ investigation into the financial struggles of nonprofit services. _ also won a Society of Professional Journalists Award for Investigative Reporting at the Stamford Advocate for _ series exposing an elderly grifter’s charity organization. _ work has appeared in publications across the country, including The New York Times. _ grew up in the suburbs of Philadelphia and now lives in North Jersey with _ wife and son. _ has a bachelor’s degree in communications from Arcadia University and a master’s degree in journalism from Syracuse University. Find out more on _’s website: https://www.stephenclarkbooks.com/",journalist,M
27,"_ received _ PhD in English from the University of Pittsburgh in 2006. While at Pittsburgh, _ received an Andrew W. Mellon Pre-Doctoral Fellowship. _ book, Second-Generation Memory and Contemporary Children’s Literature: Ghost Images, published in 2013, explores the relationships between cultural notions of childhood, memory, intertextuality, and the intergenerational. _ research interests include children’s literature and media, 20th-century American literature, trauma theory, and religion and literature. (bio from the University of Florida website:",professor,F
28,"Dr. _ is also engaged in a follow-on study from _ NLN funded research project, Assessing the Reliability of Simulation Evaluation Instruments. In addition, _ is a co-author of the chapter on evaluation in Simulation in Nursing Education (2nd ed.). _ was among the first nurses to be awarded the prestigious Fogarty International Clinical Research Scholarship and served _ scholar year with Botswana-Harvard Partnership in Gaborone, Botswana, doing HIV prevention research. _ continues to work internationally including developing a survey about the use of simulation in the EU with colleagues from University of Ljubljana.",professor,F
29,"After graduation from George Washington University law school in 1975, _ clerked for a Judge on the U.S. Tax Court. _ joined the international law firm of Baker & McKenzie in 1977 and was elected to partner in 1984. _ left Baker & McKenzie in 1996 to establish _ own law firm._. _ currently represents many public and private colleges and universities in connection with ongoing tax issues and has represented a number of schools in connection with IRS audits. _ is also a frequent speaker at NACUA and NACUBO tax conferences.Education:J.D., George Washington University Law Center (1975)Duke University (1968)Bloomberg BNA Tax Management Portfolios:914 T._., U.S. Income Taxation of Foreign Students, Teachers, and Researchers (author)",attorney,M
30,"Following graduation from the University of North Carolina in 2000, _ established Habitat for Humanity college chapters in Australia and New Zealand, the first in the Pacific. _ has travelled extensively throughout Meso- and South America and is fluent in Spanish. While travelling and living in Asia, _ worked with preschool-aged children in a Thailand orphanage. _ received _ law degree at Northeastern University in 2007, having interned at the Massachusetts Commission Against Discrimination and the United Nations High Commissioner for Refugees. _ is currently an asylum attorney at Greater Boston Legal, whose client base is largely from Mesoamerica.",attorney,F
31,"_ graduated with honors in 2006. Having more than 10 years of diverse experiences, especially in NURSE PRACTITIONER, _ _ _ affiliates with University Of Texas Medical Branch, and cooperates with other doctors and specialists in medical group Utmb Faculty Group Practice. Call _ _ _ on phone number (409) 772-2222 for more information and advises or to book an appointment.",nurse,F
32,"_ is in-network for Blue Cross Blue Shield Catastrophic, Blue Cross/Blue Shield, and Blue Cross Blue Shield Bronze, as well as other insurance carriers.",psychologist,M
33,"Dr. _ is also leading the Center for Consumer Health Informatics Research (CCHIR), a WHO designated research center. _ research evolves mainly around Pharmacy informatics. Whether it is the clinical or operational side of it, _ focus is to leverage the use of technology to optimize patient care and improve overall healthcare practice. Dr. _'s main research topics focus on improving medication adherence and reducing preventable medication errors.",professor,F
34,"_ has performed thousands of plastic surgery procedures using innovative and established techniques to enhance the lives of _ Los Angeles and Marine del Rey patients. Dr. _'s specialties include breast augmentation, tummy tucks, body lift, liposuction, non-surgical treatments and other cosmetic plastic surgery procedures. Learn more about the procedures _ offers online today.",surgeon,M
35,"_ focuses _ practice on qui tam whistleblower litigation. _ earned _ bachelor’s degree from the University of Northern Iowa, where _ graduated magna cum laude. _ was awarded _ Juris Doctor degree from the University of Iowa College of Law. _ is a former clerk for the United States Attorney’s Office for the Northern District of Iowa. While at the United States Attorney’s Office, _ worked on several False Claims Act cases, including a case involving agriculture insurance fraud and a pharmaceutical fraud case. _ is also a former intern for the Honorable Judge Artis Reis, of the 5th Judicial District Court of Iowa. _ is a member of the American Association for Justice, the Consumer Attorneys of California, the San Francisco Trial Lawyers Association, and Taxpayers Against Fraud. _ was admitted to the State Bar of California in 2009.",attorney,F
36,"The first single of the album was Keš Pičke, soon followed by Jst Sm Umrl. During _ career, _ collaborated with Pasji Kartel, Ali En, Trkaj... _ released 3 albums till 2017.",rapper,M
37,"In previous jobs, _ spent a lot of time working with Common Lisp and enthusing about functional languages. Since joining Red Gate, _ worked on Exchange Server Archiver until _ moved to the .NET division in the middle of May 2009. _ now works on .NET Reflector and is also helping to create new Red Gate products.",software_engineer,M
38,"Talk about versatile! _ hosts a show every Thursday night at UCBeast called ""_ + Joe + Charles Show"" and it is a very fun show, everyone thinks so, ya just gotta see it! _ is the author/editor of the stand-up comedy zine ""Tight Five"" and the host of the Pretty Little Liars-themed podcast ""Pretty Little Podcast with _ _."" Catch _ opening for Chris Gethard in cities across the northeast this November.",comedian,M
39,"_ writes and lectures on cultural diversity in the media and has served as a media and press adviser for political campaigns, public officials, and advocacy groups. _ lives outside of Washington, D.C.",professor,F
40,"_ has worked for 17 years with the Assistive Technology program (PAAT) at the GAO. In this capacity, _ has worked with and on behalf of individuals who are in need of equipment, including augmentative communication devices. _ has guided people so that they can be their best advocates and worked towards breaking down barriers for people.",attorney,F
41,"_ research interests include Middle East politics, state formation and state failure, global security, politics of the developing world, and multi-method research techniques.",professor,M
42,"In _ highly collaborative research, Dr. _ seeks to identify factors that shape the aging of the brain and body. _ is or has been Principal Investigator (PI) or co-investigator of several NIH-funded investigations directed at these questions. In addition to contributing research evidence to this substantive arena, Dr. _ has had the privilege of engaging in a series of collaborations and initiatives that join innovative epidemiologic methods (e.g., MEthods for LOngitudinal studies of DEMentia) and the broader body of evidence (e.g., the AlzRisk Project, www.alzrisk.org) with counsel and advocacy (e.g., the Alzheimer’s Association; Health Effects Institute).",professor,F
43,"_. _ practices medicine in Norman, OK and specializes in Orthopaedic Surgery. _. _ is affiliated with Norman Regional Health System and Purcell Municipal Hospital.",physician,M
44,_ bought _ first camera in 1978 and began to study how to take pictures. _ bought _ second camera with wide and long lenses in 2001 and became devoted to learning photography. _ only participated in a few International Exhibitions of Photography in 2003 and then gradually _ increased _ participation after _ joined PSA in 2004.,photographer,F
45,"_ career in comedy began when _ started yelling premises to nobody in a former bands practice space. Since then _ has been lucky enough to replace that practice space with actual people. _’s comedy/wit is hella acerbic, and _ was once described as a whimsical cynic; kind of like a trapeze artist who enjoys the cool intensity of Microsoft Excel, or a golden retriever with shifty eyes.",comedian,M
46,"Having a great passion for staff safety in healthcare settings, _ has dedicated _ to increase awareness on the importance of this subject as well as developing new ideas to make improvements in occupational health & safety.",physician,M
47,"_. _ practices medicine in Hot Springs, AR and specializes in Dermatology. _. _ is affiliated with National Park Medical Center and CHI St Vincent Hospital Hot Springs. _. _ speaks English and Spanish.",physician,F
48,"Dr. _ received a B.A. from Colgate University and a Ph.D. from the University of Pittsburgh, with postdoctoral training at Princeton University. _ has a long standing interest in understanding the molecular mechanisms that drive imprinting, and has developed and characterized novel mouse models to understand this process.",professor,M
49,"_ coordinates the three Social Policy & Community Development subjects in the Social Work Department. _ is an acknowledged expert on community welfare lobby groups, having completed _ PhD on the peak community welfare lobby body, the Australian Council of Social Service (ACOSS). _ has also published widely on a range of social policy and community development debates including globalisation and the welfare state, compulsory income management, illicit drug policies, Indigenous social policy and social workers and policy practice.",professor,M
50,"_ was nominated for the 2014 British Journal of Photography award for best emerging talent around the world, and has recently seen _ work published in Harper’s Bazaar, Paper Mag and Fotografia Magazine amongst others.",photographer,M
51,"_. _ was born and raised in South Florida and earned a Bachelor of Arts degree in History from the University of Miami, graduating cum laude. In 2003, _. _ received _ Juris Doctorate from the George Washington University Law School. _ is bilingual, speaking both English and Spanish with native fluency.",attorney,M
52,"As luck would have it, _ employer requested _ to move to a client location in Chicago for a two-year period. This presented _ with the opportunity to apply for an MBA from the University of Chicago, while continuing _ job.",software_engineer,M
53,"These areas are among Dr. _'s clinical interests: ovarian cancer, fibroids, and cervical cancer. After completing medical school at the University of Alabama at Birmingham School of Medicine, _ performed _ residency at a hospital affiliated with Johns Hopkins University. _ has received the following distinctions: Excellence in Teaching Award, Johns Hopkins Hospital and Virginia K. Pearce Award for Best Poster, Society of Memorial Gynecologic Oncologists Annual Meeting. _ is affiliated with Howard County General Hospital and Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins.",physician,M
54,"After receiving two bachelor's degrees and a master's from Columbia University in New York City; _ started _ Midwifery career caring for the underserved community in the Bronx where _ caught hundreds of babies. _ then went on to join a group of elite providers in Manhattan where _ honed in on developing new skills to care for high risk population. All throughout _ 20 year career, _ has dedicated _ life and craft to social justice and high quality healthcare with special focus on the LGBTQ community. _ now continues _ dedication at the health center where _ and _ colleagues serve the community with family building, gynecology, lactation, acupuncture and massage therapy services.",nurse,F
55,"Dr. _ is affiliated with Orlando Health. _ is in-network for United Healthcare Compass, United Healthcare Navigate, and United Healthcare HSA, as well as other insurance carriers. _ is a graduate of the University of Zimbabwe College of Health Sciences.",physician,M
56,"Most recently, _ served as the general counsel of the Maryland Association of Nonprofit Organizations for 12 years. In that role, _ provided legal advice to thousands of nonprofit organizations in Maryland, as well as to the Association, conducted trainings and produced various publications on numerous legal and employment topics critical to nonprofit organizations.",attorney,F
57,_ earned _ medical degree from The University of Tennessee and completed _ neurosurgical residency at The University of Tennessee Health Science Center in 1985. Read More,surgeon,M
58,_ serves as the medical director of the Hudson Valley Total Joint Center and performs quadriceps-sparing total knee replacement surgery at St. Luke’s Cornwall Hospital.,surgeon,M
59,_ loves to write for all ages. _ enjoys acting and has been on a kids Saturday morning TV show called The Lads TV. _ also worked for Superstart as a contracted actor. _ hopes to someday write full time and share _ stories with the world. Where to find _ _ online,teacher,M
60,"_ received _ undergraduate degree in secondary education from University of Arizona, and _ law degree from Syracuse University College of Law. _ has been working in the area of education law on behalf of parents and children since 2013.",attorney,F
61,"_ has 21 years nursing experience in different fields such as critical care, coronary care, nursing education and management in addition to European and American resuscitation councils as an instructor. _ currently consults clients in the nursing field and CRNE preparation courses; assisting them with assessment and placement for the CRNE and specialty courses and is an instructor at AAPS.",nurse,M
62,"Dr. _ _ practices at Cure Well Dental Clinic in Garfa, Kolkata. _ completed BDS from R.G.Kar Medical College & Hospital,Kolkata in 2000.",dentist,M
63,"_ first heard of Vertex Fitness after asking friends and colleagues for personal training recommendations. _ was given the names of different facilities in the area but Vertex Fitness was not one of them. Noticing the recommendations given to _ were more heavily focused on weight loss and not improving overall strength and health, _ decided to do _ own research. Being able to keep up with _ three children was _ motivation for starting a strength-training program. Dr. _ quickly discovered Vertex Fitness, and knew immediately the mission was in line with what _ was looking for. So _ decided to come in for a complimentary session and was immediately hooked.",professor,F
64,"_ was awarded a PhD from the University of Wisconsin in 1999. _ worked at Compaq and Intel towards the development and design of high performance processors. _ research interests lie in the area of Computer Architecture with particular emphasis on reliability, memory hierarchy, temperature, and analysis of dynamic program behavior.",professor,M
65,"_. _ investigates and prosecutes persons and entities that violate the Massachusetts Consumer Protection Act, with a specialized focus on electronic commerce and telecommunications issues.",attorney,M
66,"_ is the Co-director of the Vanderbilt TBI Clinic and the Principal Investigator for a randomized clinical trial in severe TBI. _ hopes to improve outcomes for TBI survivors and family members through research, awareness, education, outreach, and advocacy and believes that BIAT is the organization to lead the way in the state of TN.",surgeon,M
67,"_ investigates the social, emotional, and cognitive factors underpinning children’s and adolescents’ decision-making. _ was a graduate student at the Max Planck Institute for Human Development/International Max Planck Research School Life and received _ PhD from the Free University, Berlin in 2005. _ then worked as a post-doctoral fellow at the Human Early Learning Partnership, University of British Columbia, Vancouver. Since 2007 _ has been working at the School of Psychology at the University of Plymouth, UK.",professor,F
68,"Being chosen as one of the five 2010 YWCA Leader Awardees supports that statement. Always proud of _ heritage, _ is a leader in the field of business representing not only Filipino women but all women entrepreneurs in Hawaii and the world. From humble beginnings _ became a role model, mentor and resource person who always shares _ inspiring story to _ colleagues and other businesswomen. Building ACE Medical, Inc, a multi-million JACHI accredited durable medical equipment company from scrath, _ continues to advocate for the changing needs of the community thru the Center for Healthcare Education and Certified Nurse Aide Training Program, both providing comprehensive and learning tools for nurse aides and caregivers to care for frail, elderly and disabled.",nurse,F
69,"_ is an in-network provider for Blue Cross Blue Shield EPO, Blue Cross Blue Shield Bronze, Blue Cross Blue Shield HMO, and more. After completing medical school at the University of Illinois College of Medicine at Chicago, _ performed _ residency at a hospital affiliated with the University of Illinois at Chicago. Dr. _ has received professional recognition including the following: Florida Super Doctors 2009 - Gulf Coast Edition. Dr. _ is professionally affiliated with Winter Haven Women's Hospital.",physician,M
70,"_ writes in a wide selection of musical styles for Orchestral and Electronic film scores. Bombastic trailers, chamber-orchestra, solo piano, guitar-based pop and Philip Glass-style underscore have all found their way into _ work",composer,M
71,Japanese teacher has sex _ _ is a hot _ teacher who ... their naked glory! Miki Sato hot... Miki Sato is a beautiful Japanese teacher. _ is ... ... Mirei Kayama is a sexy teacher with big tits and glasses ...,teacher,F
72,"_ previously clerked for the Honorable Justice Gary Klatzmann of the Massachusetts Appeals Court and for the judges of the Superior Court of Massachusetts. _ graduated magna cum laude from Suffolk Law School and with honors from Brown University, obtaining a B.A. in Public Policy and American History.",attorney,M
73,"_ received _ Ph.D. from the University of Cincinnati in 1999. _ is an Assistant Professor of Criminal Justice in the School of Public and Environmental Affairs at Indiana University Kokomo. _ research and teaching interests include capital punishment and death row, attitudes toward crime and correctional policy, crime and deviance among college students, and religion and crime. _ may be contacted at kelkebro@iuk.edu or at School of Public and Environmental Affairs, Indiana University Kokomo, P.O. Box 9003, Kokomo, Indiana 46904.",professor,F
74,"_. _ practices medicine in Boulder, CO and specializes in Internal Medicine and Otolaryngology. _. _ is affiliated with Boulder Community Hospital and Avista Adventist Hospital. _. _ speaks English, French, German, Polish, Chinese, Italian, Spanish, Portuguese, Russian, Arabic, Korean, Tagalog and Vietnamese.",physician,F
75,"Dr. _ spends the majority of _ time taking care of the injured patient, and performing both emergency and elective general surgery. _ research interests are in outcomes research, trauma system development, public policy specifically gun violence prevention, and the advancement of surgery in poor resource settings.",professor,M
76,"Prior to pursing academia full-time, _ was a project designer for the Denver office of Gensler. _ research focuses on design communication, technology, and research utilization.",professor,F
77,Having _ voice in print was _ long-held desire. _ has written numerous poems which have been published locally and internationally. On the international scene Snail’s Lament was published in The Penguin Book of Modern Poetry in 1998 edited by Gerald Moore and Ulli Beier. Africa Hunted was broadcast on South African Broadcasting Corporation in 2003.,poet,M
78,_ created _ website Visualising Ideas to share _ materials and ideas on how to use the visual arts with deaf and hard of hearing children in the language classroom.,teacher,F
79,"_ is licensed to practice law in multiple states, including New York, Connecticut and the District of Columbia. _ obtained _ legal degree from the Syracuse University College of Law. _ primarily specializes in real estate law. _ can also assist _ clients with drafting, reviewing and negotiating commercial contracts. _ founded _ own virtual law office in June 2016.",attorney,M
80,"Dr. _ _ practices at Dr.Vasa's Dental Care in Mulund West, Mumbai. _ completed BDS from Nair Hospital Dental College (NHDC), Mumbai in 2002. _ is a member of Indian Dental Association. Some of the services provided by the doctor are: Cast Partial Denture,Conservative Dentistry,Artificial Teeth and BPS Dentures Fixing etc.",dentist,M
81,"_ was raised in a covenant home with the rich heritage and daily blessing of godly parents and grandparents who imparted their lives to _. _ was discipled through _ high school and college years by Barry York and Dave Long. After graduating from Purdue University, _ worked for three years in the automotive industry, and then attended the Reformed Presbyterian Theological Seminary, graduating in 2003.",pastor,M
82,"Working as a genetic counsellor, _ first developed an interest in working with parents and young people. Later, in _ role in early intervention, _ inaugurated a series of group-based intervention programs that focused on the development of social and communication skills in children with autism spectrum disorders. _ has contributed to books, journals, newsletters and local and state media in the area of health and wellbeing for children and adolescents.",psychologist,F
83,"A board-certified urologist, Dr. _ is the director of the Morris Center for Urologic Research at the Duke Cancer Institute and is a leading expert on prostate cancer and its treatments. _ is the author of the book Prostate Cancer: A Guide for Men.",professor,M
84,"_ attended medical school at Virginia Commonwealth University (VCU) School of Medicine. Blue Cross Blue Shield EPO, Blue Cross Blue Shield Bronze, and Blue Cross Blue Shield HMO are among the insurance carriers that Dr. _ honors.",physician,M
85,"_ has received Jefferson’s Interprofessional Education Award, three AAMC/Macy Collaborative Development Awards, and a HRSA Geriatric Academic Career Award. Dr. _’ career focus and passion is for interprofessional education (IPE) curricular innovation and scholarship. _ career goals include cultivating highly competent students, serving as a national leader and advocate in interprofessional education and care (IPE/C), creating a replicable model for IPE/C training, developing accurate and measurable achievement of IPE core competencies, and disseminating a novel mobile application platform for IPE standardized assessment.",professor,F
86,"_ then went on to obtain _ Master’s of Medical Science Degree and Physician Assistant Degree at Emory University in Atlanta, GA. _ is a member of the American Academy of Physician Assistants, Institute of Functional Medicine, and the American Academy of Anti-Aging and Regenerative Medicine. _ has continued to pursue education through the Institute of Functional Medicine, as well as A4M.",physician,F
87,"_ research is mainly focused on programming languages and software engineering where _ tries to improve the effectiveness, efficiency, and usability of software. _ has contributed in these areas in the realm of spreadsheets and for improving the energy consumption of software. _ obtained _ PhD degree in Computer Science from Universidade do Minho in 2011. _ was then a post-doctoral fellow at Universidade do Minho and Oregon State University. _ was also an Invited Professor at Escola Superior de Tecnologia e Gestão de Felgueiras - Instituto Politécnico do Porto.",professor,M
88,"_ is affiliated with Texas Health Resources. Blue Cross/Blue Shield, HealthSmart, and Viant are among the insurance carriers that Dr. _ accepts. Dr. _ trained at Massachusetts General Hospital for _ residency. Dr. _ speaks Spanish.",surgeon,M
89,"Dr. _ is rated highly by _ patients. _ is in-network for several insurance carriers, including Blue Cross/Blue Shield, Blue Choice, and Blue Cross Blue Shield Bronze.",dentist,F
90,"_. _ also worked in the insurance industry for more than ten years and has enjoyed a reputation of integrity, attention to details, and results. _. _ is fluent in both English and Italian.",paralegal,F
91,"_ is an Attending Physician at Montefiore and also Jacobi Medical Center where _ has many leadership roles including chief of Hematology/Medical Oncology division and cancer committee chairman. _ practice focuses on a variety of benign and malignant hematologic conditions, as well as solid tumors. Dr. _ has co-authored scientific articles and has presented at national meetings including the American Society of Hematology, San Antonio Breast Cancer Symposium and American Society of Clinical Oncology.",professor,M
92,"_ also writes articles for teaching magazines, and provides poetry workshops for children aged 3-13 across the UK. _ website is: http://poemsforfun.wordpress.com.",poet,F
93,"Prior to joining Point Park, _ was an associate professor of management information systems at Indiana University of Pennsylvania and a teaching assistant at Utah State University. Before that, _ served as a programmer and web developer for the Ivanovo City Administration in Russia.",professor,F
94,"_ graduated with honors in 2013. Having more than 3 years of diverse experiences, especially in CLINICAL NURSE SPECIALIST, _ _ _ affiliates with many hospitals including Methodist Hospital, Methodist Hospital Union County, and cooperates with other doctors and specialists in medical group Community United Methodist Hospital, Inc. Call _ _ _ on phone number (270) 389-2323 for more information and advises or to book an appointment.",nurse,F
95,"_ graduated with honors from University Of Arizona College Of Medicine in 1981. Having more than 35 years of diverse experiences, especially in REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL, _ _ _ affiliates with no hospital, and cooperates with other doctors and specialists without joining any medical groups. Call _ _ _ on phone number (520) 743-2336 for more information and advises or to book an appointment.",dietitian,F
96,"_ is the author of several articles and book chapters about traditional music, tourism, and the economics of musical performance in the West of Ireland, where _ has conducted fieldwork for over a decade.",professor,M
97,"_ has helped numerous patients in _ 10 years of experience as a Dentist. _ has completed BDS, (FAGE) Fellow of Academy of General Education. _ is currently practising at KosMoDent Multi Speciality Dental Clinic in Bellandur, Bangalore. Don?t wait in a queue, book an instant appointment online with Dr. _ _ on Lybrate.com.",dentist,M
98,Dr. _ earned _ medical degree from the University of Rochester School of Medicine. _ then completed a fellowship in Hematology/Oncology at Memorial Sloan-Kettering Cancer Center. Full bio,professor,F
99,"_. _ advises entrepreneurs, emerging companies and private equity investors in company formation, capitalization, mergers and acquisitions, commercial transactions and corporate governance. As a member of Anderson Kill's Regulated Products group, _ counsels startups engaged in cannabis-related business.",attorney,M
100,"_ photography has roots in the darkroom at _ College, where _ studied as an undergraduate. In addition, _ studied photography at The New England School of Photography and The Griffin Museum of Photography.",photographer,F
101,"_ has extensive experience in leading and directing teams of senior analysts, programmers and technical consultants and is well versed in the use of formal tools and methodologies for business and information systems engineering.",software_engineer,M
102,"In 2015 _ experienced an awakening which dramatically shifted the trajectory of _ life. Since that time, _ teaches by example of living _ own life moment to moment, and sharing stories, experiences, and space with all who come _ way.",teacher,F
